OrderID,CustomerID,FoodItemID,FoodItemName,Quantity,OrderDate,OrderTime,Total_ItemsPrice
99,22,332,Tandoori Fried Rice,2,03-Mar-26,8:21:55 AM,100
100,22,271,Spicy Curry,4,28-Mar-26,6:40:18 PM,360
101,22,303,Crispy Platter,4,26-Feb-26,9:33:33 AM,480
102,22,300,Sweet Salad,4,18-Jan-26,10:55:35 AM,240
103,22,447,Special Halwa,1,25-Apr-26,11:10:12 PM,90
104,23,398,Hot Pizza,1,28-Feb-26,4:45:35 PM,250
105,23,257,Sweet Roti,2,02-Jan-26,10:52:19 PM,500
106,23,400,Special Manchurian,4,22-Jan-26,12:58:17 PM,240
107,23,141,Punjabi Idly,4,24-Apr-26,6:35:25 PM,1280
108,23,112,BBQ Soup,2,17-Mar-26,8:13:40 AM,460
109,24,444,Schezwan Kheer,2,17-Feb-26,2:33:50 AM,640
110,24,152,Baked Idly,4,23-Apr-26,3:59:27 AM,1280
111,24,342,Smoky Biryani,4,07-Feb-26,1:15:52 PM,1280
112,24,103,BBQ Curry,3,11-Jan-26,8:56:37 AM,360
113,25,398,Hot Pizza,3,29-Jan-26,6:41:24 PM,750
114,25,171,Baked Kheer,2,07-Apr-26,5:38:43 PM,360
115,25,404,Spicy Tikka,3,21-Feb-26,9:41:19 AM,540
116,25,141,Punjabi Idly,4,13-Mar-26,8:42:57 AM,1280
117,26,202,Spicy Idly,2,08-Mar-26,6:44:26 AM,300
118,26,150,Baked Curry,1,14-Mar-26,4:15:30 AM,70
119,26,216,BBQ Noodles,3,11-Apr-26,10:15:16 AM,270
120,26,438,Hot Vada,4,16-Apr-26,10:41:56 PM,200
121,26,364,Deluxe Vada,4,10-Jan-26,9:19:40 PM,200
122,27,172,Mexican IceCream,1,06-Mar-26,6:24:39 PM,150
123,27,215,Garlic Noodles,2,25-Apr-26,1:23:39 AM,460
124,27,243,Smoky Soup,2,30-Mar-26,10:58:19 PM,640
125,27,321,Cheesy Vada,4,05-Apr-26,11:28:51 PM,720
126,27,104,Baked Soup,3,24-Feb-26,2:45:38 AM,150
127,28,329,Smoky Naan,3,07-Feb-26,12:59:58 PM,180
128,28,319,Baked Dosa,4,21-Feb-26,10:36:22 AM,600
129,28,333,Punjabi Roti,4,27-Jan-26,12:27:19 AM,200
130,28,253,Hyderabadi Kheer,1,07-Apr-26,6:28:25 PM,60
131,29,172,Mexican IceCream,2,10-Apr-26,7:56:18 PM,300
132,29,444,Schezwan Kheer,4,14-Mar-26,3:57:49 AM,1280
133,29,237,Hyderabadi Pizza,4,06-Jan-26,2:38:11 PM,1000
134,29,184,Deluxe Noodles,1,12-Mar-26,6:44:32 AM,70
135,29,154,Schezwan Vada,4,24-Jan-26,6:27:13 PM,280
136,29,114,Baked Naan,3,01-Feb-26,6:27:21 AM,960
137,30,206,Cheesy Soup,3,06-Feb-26,12:26:24 PM,180
138,30,257,Sweet Roti,2,23-Mar-26,1:14:11 PM,500
139,30,259,Garlic Pasta,2,08-Mar-26,4:56:41 AM,760
140,30,306,Smoky Kebab,3,02-Jan-26,6:17:59 AM,1140
141,31,207,Sweet Noodles,2,09-Apr-26,11:28:42 PM,460
142,31,410,Cheesy Platter,3,19-Jan-26,9:36:48 PM,150
143,31,334,Spicy Fried Rice,2,05-Feb-26,6:39:41 AM,80
144,31,412,Crispy Kebab,3,17-Apr-26,1:44:48 PM,120
145,31,448,North Indian Idly,3,09-Jan-26,4:16:29 PM,360
146,31,296,North Indian Halwa,2,30-Apr-26,3:48:53 AM,80
147,32,307,Mexican Burger,3,29-Jan-26,7:29:31 PM,450
148,32,158,Hyderabadi Burger,1,20-Jan-26,11:53:57 AM,40
149,32,137,Garlic Fried Rice,1,21-Feb-26,3:51:34 AM,320
150,33,355,Punjabi Burger,1,30-Jan-26,6:55:51 PM,50
151,33,228,Spicy Soup,4,05-Feb-26,5:44:49 PM,1000
152,33,375,Cheesy Pizza,4,05-Apr-26,1:19:17 AM,480
153,33,134,BBQ Platter,3,22-Jan-26,6:38:53 PM,150
154,34,442,Mexican Platter,4,07-Jan-26,3:38:54 AM,360
155,34,392,Baked Platter,1,27-Apr-26,8:54:24 AM,120
156,34,404,Spicy Tikka,4,20-Feb-26,6:44:51 AM,720
157,34,222,Baked Roti,1,21-Mar-26,10:13:57 PM,50
158,34,261,Crispy IceCream,4,17-Feb-26,5:14:10 PM,1280
159,34,233,Schezwan Fried Rice,3,05-Apr-26,11:34:18 PM,180
160,35,128,Mexican Fried Rice,4,26-Apr-26,4:36:41 AM,920
161,35,151,Garlic Vada,1,04-Jan-26,6:46:54 AM,60
162,35,346,Tandoori Vada,2,02-Feb-26,3:44:55 PM,360
163,36,398,Hot Pizza,2,25-Feb-26,3:53:12 AM,500
164,36,305,Schezwan Pasta,4,14-Apr-26,11:42:46 PM,600
165,36,117,Hyderabadi Noodles,1,07-Feb-26,11:55:28 PM,150
166,36,295,Smoky Manchurian,3,17-Jan-26,9:12:44 AM,120
167,36,430,Cheesy Pasta,4,11-Jan-26,5:26:18 PM,200
168,36,222,Baked Roti,2,21-Feb-26,8:52:58 PM,100
169,37,109,Special Curry,2,23-Jan-26,7:52:42 PM,100
170,37,386,Mexican Roll,1,24-Mar-26,2:52:34 PM,120
171,37,188,Mexican Pizza,3,12-Jan-26,1:44:13 AM,960
172,37,119,Mexican Noodles,3,14-Feb-26,12:42:53 PM,270
173,38,437,Deluxe Naan,1,21-Apr-26,9:32:18 PM,90
174,38,349,Sweet Pasta,3,07-Feb-26,3:33:59 PM,1140
175,38,354,Spicy Roti,4,19-Mar-26,12:23:11 PM,480
176,38,398,Hot Pizza,1,17-Mar-26,4:43:26 PM,250
177,39,237,Hyderabadi Pizza,2,21-Mar-26,5:46:27 PM,500
178,39,439,Baked Vada,3,20-Feb-26,7:50:31 PM,1140
179,39,389,Spicy Roll,4,13-Jan-26,9:20:57 AM,160
180,39,212,Spicy Halwa,1,11-Jan-26,7:54:32 AM,380
181,39,333,Punjabi Roti,4,28-Mar-26,6:23:11 PM,200
182,40,257,Sweet Roti,2,26-Jan-26,4:17:45 PM,500
183,40,334,Spicy Fried Rice,1,10-Jan-26,12:27:45 PM,40
184,40,229,Hot Curry,3,10-Jan-26,8:13:42 AM,1140
185,40,440,South Indian Roti,1,02-Jan-26,3:44:46 PM,50
186,40,197,Sweet Curry,1,23-Apr-26,7:43:20 PM,320
187,40,222,Baked Roti,4,13-Jan-26,3:58:11 AM,200
188,41,439,Baked Vada,4,17-Apr-26,12:48:44 PM,1520
189,41,266,Tandoori Manchurian,4,08-Mar-26,10:36:17 PM,1000
190,41,214,Punjabi Naan,4,28-Mar-26,8:33:46 PM,480
191,41,222,Baked Roti,2,21-Mar-26,11:46:56 PM,100
192,41,212,Spicy Halwa,1,23-Jan-26,3:31:24 PM,380
193,42,384,Deluxe Kebab,1,20-Apr-26,4:14:35 AM,380
194,42,104,Baked Soup,3,03-Feb-26,9:37:15 AM,150
195,42,442,Mexican Platter,3,12-Mar-26,11:25:51 PM,270
196,43,258,Special Fried Rice,4,13-Apr-26,9:51:11 AM,160
197,43,357,Tandoori Noodles,3,01-Apr-26,6:57:43 PM,180
198,43,276,North Indian Biryani,4,06-Mar-26,3:28:31 AM,600
199,43,350,Punjabi Soup,1,11-Mar-26,4:34:45 PM,150
200,43,261,Crispy IceCream,2,10-Mar-26,9:51:58 PM,640
201,44,236,Mexican Pasta,4,15-Feb-26,5:29:19 AM,1520
202,44,422,Tandoori Biryani,2,03-Feb-26,7:48:49 AM,500
203,44,176,Cheesy Kheer,2,05-Mar-26,8:34:34 AM,100
204,45,133,Cheesy Curry,4,12-Jan-26,4:36:36 AM,360
205,45,347,Tandoori Halwa,4,08-Mar-26,8:14:51 AM,360
206,45,443,Sweet Vada,1,26-Feb-26,9:26:49 PM,120
207,45,255,Sweet Pizza,1,18-Feb-26,2:10:14 AM,90
208,46,218,Hot Dosa,3,01-Jan-26,3:34:53 PM,750
209,46,326,Hyderabadi Biryani,4,15-Mar-26,6:31:26 PM,480
210,46,143,Schezwan Roti,3,26-Jan-26,10:45:29 AM,120
211,46,402,Crispy Pizza,4,22-Apr-26,3:43:15 PM,360
212,46,269,Mexican Manchurian,4,06-Apr-26,8:57:54 PM,1520
213,47,344,Special Dosa,4,18-Mar-26,12:54:15 AM,1280
214,47,145,BBQ Idly,2,28-Jan-26,1:55:25 AM,500
215,47,384,Deluxe Kebab,4,02-Feb-26,5:18:58 PM,1520
216,47,220,Spicy Naan,4,07-Feb-26,11:41:36 PM,1520
217,47,333,Punjabi Roti,1,15-Mar-26,4:16:31 PM,50
218,48,359,Smoky Roti,1,23-Feb-26,8:16:55 AM,230
219,48,110,Cheesy Salad,4,22-Feb-26,9:11:27 AM,1000
220,48,294,Special Roti,2,14-Apr-26,5:19:59 AM,640
221,48,213,Mexican Biryani,3,17-Mar-26,12:59:40 AM,120
222,49,295,Smoky Manchurian,3,12-Mar-26,5:17:27 PM,120
223,49,118,Sweet Platter,1,17-Feb-26,12:46:23 PM,70
224,49,420,Hot Pasta,4,03-Apr-26,3:22:34 AM,720
225,50,278,Tandoori IceCream,1,25-Mar-26,7:37:41 PM,40
226,50,375,Cheesy Pizza,1,05-Feb-26,10:53:15 AM,120
227,50,436,South Indian Idly,2,11-Mar-26,4:18:45 AM,460
228,50,123,Baked Tikka,3,07-Feb-26,11:30:12 PM,540
229,50,180,Schezwan Burger,2,18-Mar-26,1:42:33 AM,300
230,51,326,Hyderabadi Biryani,2,24-Apr-26,6:21:53 AM,240
231,51,181,BBQ Biryani,2,27-Feb-26,12:23:27 AM,640
232,51,448,North Indian Idly,2,01-Mar-26,3:43:26 AM,240
233,51,252,Hot Salad,3,29-Jan-26,5:14:42 PM,540
234,51,410,Cheesy Platter,2,31-Jan-26,11:37:30 PM,100
235,52,320,Crispy Kheer,1,24-Jan-26,3:39:13 PM,320
236,52,325,Cheesy Roll,4,09-Jan-26,7:41:56 PM,720
237,52,223,Sweet Burger,2,14-Apr-26,9:10:26 PM,360
238,52,435,Crispy Tikka,1,03-Apr-26,8:58:10 PM,40
239,52,325,Cheesy Roll,4,19-Feb-26,5:16:57 PM,720
240,53,290,Hot Fried Rice,1,27-Apr-26,7:33:40 AM,40
241,53,382,Cheesy Naan,3,28-Jan-26,11:24:28 PM,750
242,53,253,Hyderabadi Kheer,3,09-Apr-26,8:30:23 PM,180
243,53,381,BBQ Manchurian,3,26-Jan-26,2:27:26 PM,960
244,53,132,Baked Pizza,4,14-Apr-26,11:24:20 AM,480
245,53,136,Crispy Pasta,1,02-Apr-26,2:13:50 AM,50
246,54,227,Deluxe Roti,1,29-Apr-26,8:57:13 AM,230
247,54,407,Deluxe Idly,2,03-Apr-26,7:57:40 AM,100
248,54,319,Baked Dosa,3,03-Jan-26,9:14:19 PM,450
249,55,223,Sweet Burger,4,07-Mar-26,3:22:32 PM,720
250,55,302,South Indian Vada,2,24-Feb-26,12:33:25 AM,100
251,55,223,Sweet Burger,4,14-Jan-26,4:27:26 AM,720
252,55,330,South Indian Platter,2,08-Apr-26,11:20:30 PM,100
253,55,249,North Indian Burger,4,31-Mar-26,9:13:24 AM,1280
254,56,162,Garlic Tikka,3,18-Apr-26,6:41:39 PM,120
255,56,408,Spicy Manchurian,4,06-Mar-26,1:39:49 PM,720
256,56,183,Punjabi Kebab,4,15-Jan-26,11:48:12 PM,160
257,56,194,Cheesy IceCream,4,12-Jan-26,6:44:16 AM,1280
258,56,398,Hot Pizza,2,27-Jan-26,9:13:43 AM,500
259,56,300,Sweet Salad,1,24-Apr-26,7:26:27 AM,60
260,57,290,Hot Fried Rice,1,18-Feb-26,6:38:23 PM,40
261,57,357,Tandoori Noodles,3,14-Apr-26,2:52:28 AM,180
262,57,330,South Indian Platter,1,23-Mar-26,12:36:23 AM,50
263,58,265,Schezwan Curry,3,09-Apr-26,9:52:45 AM,750
264,58,196,Baked Kebab,3,03-Mar-26,5:55:59 PM,270
265,58,171,Baked Kheer,3,27-Feb-26,8:15:20 AM,540
266,59,123,Baked Tikka,3,13-Jan-26,2:29:24 AM,540
267,59,303,Crispy Platter,4,31-Jan-26,7:53:48 AM,480
268,59,402,Crispy Pizza,3,09-Apr-26,11:45:40 AM,270
269,60,263,BBQ Kebab,4,01-Feb-26,12:29:42 AM,160
270,60,396,Hot IceCream,1,11-Jan-26,9:17:58 PM,70
271,60,101,North Indian Soup,3,06-Apr-26,12:21:26 PM,450
272,60,123,Baked Tikka,4,23-Feb-26,8:41:42 AM,720
273,60,406,Sweet Naan,2,17-Apr-26,1:40:21 PM,180
274,61,161,Special Idly,1,10-Jan-26,5:52:10 AM,250
275,61,322,Schezwan Roll,1,09-Feb-26,8:14:18 AM,320
276,61,288,Smoky Noodles,4,05-Apr-26,1:13:56 AM,280
277,61,121,North Indian Kheer,2,04-Jan-26,2:58:57 AM,360
278,61,369,Deluxe Kheer,2,13-Jan-26,11:44:16 AM,360
279,61,319,Baked Dosa,2,28-Feb-26,7:58:40 AM,300
280,62,425,BBQ Roti,1,14-Feb-26,5:50:55 PM,250
281,62,149,Cheesy Dosa,2,12-Mar-26,3:33:12 AM,500
282,62,194,Cheesy IceCream,4,20-Apr-26,4:44:18 AM,1280
283,62,297,Smoky Halwa,4,02-Jan-26,9:29:44 PM,280
284,62,160,Garlic Halwa,1,07-Jan-26,1:41:15 AM,150
285,62,435,Crispy Tikka,4,29-Jan-26,4:12:39 PM,160
286,63,365,Deluxe Tikka,3,08-Mar-26,7:37:12 AM,750
287,63,232,Deluxe Curry,4,26-Mar-26,2:15:12 AM,200
288,63,398,Hot Pizza,2,22-Mar-26,2:34:15 AM,500
289,63,183,Punjabi Kebab,4,24-Feb-26,5:23:42 PM,160
290,64,205,Smoky Burger,2,13-Jan-26,1:55:33 AM,460
291,64,281,Special Platter,2,05-Mar-26,3:18:23 PM,120
292,64,358,Hot Tikka,3,03-Apr-26,4:55:20 AM,210
293,64,279,Mexican Dosa,4,05-Jan-26,4:48:44 AM,200
294,65,283,Schezwan Naan,3,15-Jan-26,5:29:59 PM,690
295,65,334,Spicy Fried Rice,4,07-Apr-26,3:39:20 AM,160
296,65,300,Sweet Salad,2,10-Feb-26,9:51:54 PM,120
297,66,405,Hyderabadi Salad,1,17-Apr-26,7:22:43 PM,120
298,66,189,Garlic Manchurian,4,09-Feb-26,10:43:29 AM,200
299,66,176,Cheesy Kheer,3,20-Jan-26,6:39:12 AM,150
300,67,185,BBQ Roll,4,24-Jan-26,7:25:35 PM,1280
301,67,354,Spicy Roti,4,26-Feb-26,11:30:38 PM,480
302,67,234,South Indian IceCream,3,28-Feb-26,2:26:57 PM,540
303,67,337,Crispy Burger,2,08-Mar-26,3:22:26 AM,80
304,67,438,Hot Vada,2,11-Apr-26,3:57:31 AM,100
305,68,424,Hyderabadi Kebab,1,13-Mar-26,3:51:52 AM,50
306,68,295,Smoky Manchurian,3,26-Mar-26,2:42:22 AM,120
307,68,406,Sweet Naan,2,16-Jan-26,12:49:55 AM,180
308,68,131,Baked Salad,3,12-Jan-26,7:23:45 PM,450
309,69,384,Deluxe Kebab,1,08-Feb-26,9:54:36 PM,380
310,69,204,Cheesy Noodles,2,13-Apr-26,11:56:23 PM,80
311,69,249,North Indian Burger,2,04-Mar-26,10:45:57 PM,640
312,69,387,Tandoori Kheer,3,04-Jan-26,4:14:25 PM,180
313,69,393,BBQ Dosa,1,08-Apr-26,8:17:12 AM,60
314,70,275,Smoky IceCream,4,11-Feb-26,12:55:44 PM,360
315,70,221,Hot Roll,3,24-Apr-26,1:55:55 AM,120
316,70,235,Deluxe Pizza,2,23-Mar-26,5:16:58 AM,360
317,70,239,Hyderabadi Dosa,2,31-Jan-26,11:43:41 PM,100
318,70,382,Cheesy Naan,2,09-Jan-26,8:59:21 AM,500
319,71,291,Punjabi Roll,4,24-Apr-26,9:17:15 AM,1520
320,71,397,Special Soup,3,17-Mar-26,6:54:18 AM,960
321,71,243,Smoky Soup,4,06-Jan-26,8:25:21 AM,1280
322,71,174,Mexican Tikka,3,11-Mar-26,8:57:41 AM,150
323,72,333,Punjabi Roti,1,24-Feb-26,1:33:46 PM,50
324,72,134,BBQ Platter,2,17-Jan-26,6:41:41 PM,100
325,72,389,Spicy Roll,2,19-Feb-26,3:20:53 PM,80
326,72,119,Mexican Noodles,3,13-Mar-26,12:37:56 PM,270
327,73,131,Baked Salad,1,07-Apr-26,1:51:55 AM,150
328,73,229,Hot Curry,2,09-Mar-26,4:47:16 AM,760
329,73,419,Hyderabadi Idly,2,04-Feb-26,9:53:34 AM,80
330,74,318,Mexican Kheer,3,04-Jan-26,6:11:42 PM,180
331,74,316,Punjabi Kheer,3,13-Apr-26,4:55:33 PM,150
332,74,213,Mexican Biryani,4,10-Mar-26,3:50:41 AM,160
333,75,173,Deluxe Platter,3,23-Mar-26,8:56:51 AM,150
334,75,130,Tandoori Burger,1,26-Apr-26,10:28:56 PM,70
335,75,153,Smoky Kheer,4,20-Feb-26,9:57:49 PM,240
336,75,298,Smoky Platter,2,19-Jan-26,1:26:59 AM,500
337,76,330,South Indian Platter,4,17-Apr-26,6:18:56 AM,200
338,76,168,Hot Roti,4,12-Feb-26,5:31:19 AM,360
339,76,239,Hyderabadi Dosa,1,14-Mar-26,9:12:43 AM,50
340,76,225,North Indian Dosa,3,17-Feb-26,7:22:41 PM,960
341,76,409,Baked Noodles,4,04-Jan-26,3:51:18 PM,1000
342,76,187,Schezwan Noodles,3,24-Feb-26,10:55:58 AM,210
343,77,338,Schezwan Platter,2,21-Mar-26,5:20:22 AM,300
344,77,244,Cheesy Roti,2,09-Jan-26,9:12:51 PM,500
345,77,427,Tandoori Idly,4,24-Apr-26,4:50:43 PM,1000
346,77,383,Mexican Salad,4,09-Mar-26,10:59:45 PM,920
347,77,387,Tandoori Kheer,2,04-Apr-26,8:32:14 PM,120
348,78,195,Baked IceCream,3,05-Feb-26,9:43:24 PM,450
349,78,114,Baked Naan,1,09-Apr-26,4:35:16 AM,320
350,78,407,Deluxe Idly,1,11-Jan-26,3:37:39 AM,50
351,79,127,Spicy Kebab,3,27-Jan-26,5:52:18 AM,960
352,79,408,Spicy Manchurian,4,17-Feb-26,6:25:18 PM,720
353,79,175,South Indian Roll,1,08-Jan-26,8:46:44 AM,50
354,79,368,Garlic Dosa,1,09-Mar-26,4:57:42 PM,250
355,79,259,Garlic Pasta,4,07-Feb-26,4:43:56 PM,1520
356,80,203,Cheesy Tikka,1,18-Mar-26,12:22:52 AM,320
357,80,141,Punjabi Idly,1,20-Apr-26,7:23:45 PM,320
358,80,214,Punjabi Naan,4,01-Apr-26,6:51:25 PM,480
359,80,134,BBQ Platter,1,29-Mar-26,7:42:41 PM,50
360,80,436,South Indian Idly,4,28-Apr-26,1:58:29 PM,920
361,80,215,Garlic Noodles,1,18-Jan-26,9:50:12 PM,230
362,81,146,South Indian Curry,3,01-Feb-26,6:26:28 PM,360
363,81,439,Baked Vada,2,04-Mar-26,3:31:49 AM,760
364,81,212,Spicy Halwa,4,18-Apr-26,8:44:36 PM,1520
365,82,417,North Indian Noodles,1,20-Apr-26,2:27:47 PM,380
366,82,357,Tandoori Noodles,3,12-Mar-26,8:33:28 PM,180
367,82,423,Special Naan,2,25-Feb-26,9:58:59 AM,760
368,82,156,Tandoori Dosa,4,13-Mar-26,4:21:20 PM,1520
369,83,181,BBQ Biryani,1,14-Apr-26,4:10:27 AM,320
370,83,400,Special Manchurian,2,18-Jan-26,8:54:19 PM,120
371,83,248,Hyderabadi Fried Rice,1,10-Mar-26,2:13:56 PM,320
372,84,287,Mexican Roti,4,14-Apr-26,11:36:51 PM,480
373,84,305,Schezwan Pasta,2,13-Mar-26,2:51:40 AM,300
374,84,264,BBQ Fried Rice,1,04-Mar-26,2:25:41 AM,90
375,85,139,Deluxe Halwa,4,05-Jan-26,11:37:30 AM,920
376,85,378,BBQ Pizza,1,05-Mar-26,10:41:58 AM,250
377,85,221,Hot Roll,2,31-Mar-26,7:10:37 AM,80
378,85,242,Punjabi Platter,1,01-Apr-26,1:27:34 PM,120
379,86,387,Tandoori Kheer,4,25-Mar-26,9:32:38 AM,240
380,86,437,Deluxe Naan,3,08-Jan-26,5:24:39 PM,270
381,86,267,North Indian Roll,4,09-Apr-26,3:21:43 PM,240
382,86,187,Schezwan Noodles,1,19-Mar-26,3:45:52 AM,70
383,87,390,Sweet Soup,1,08-Mar-26,10:22:49 PM,90
384,87,235,Deluxe Pizza,1,27-Feb-26,5:25:33 AM,180
385,87,257,Sweet Roti,4,18-Feb-26,10:10:30 AM,1000
